# phase_id	approval_scope	required	default_state	description
# next_workflow_codex_json_protocol	Fixed trusted response-protocol delivery and its verification are normal in-scope runtime correction; weakening validation, rewriting output, or expanding Agent authority remains prohibited.
# next_workflow_squash_merge_observation	Exact merge-method observation is normal verification under saved Git authority and needs no extra approval; history rewriting, ambiguous lineage, or evidence weakening remains blocked.
# next_workflow_result_contract_closure	Publishing and enforcing the trusted result grammar is normal in-scope verification and needs no extra approval; weakening validation, accepting malformed output, or expanding retry authority remains prohibited.
# instruction_boundary	Approval defaults operate below AGENTS.MD invariants and only after local-first, exact-absence instruction resolution succeeds.
context_triage	read_repository_context	false	not_required	Read-only context gathering does not require a separate approval beyond the developer request.
proposal	present_structured_proposal	false	not_required	Proposal writing is read-only and may continue inside the current task scope when no stop condition applies.
implementation_plan	synchronize_planned_documents	false	not_required	The current developer-requested task scope authorizes planned document synchronization without a separate phase prompt.
fast_loop	implement_runtime_changes	false	not_required	The current task scope authorizes scoped runtime implementation; destructive work and scope expansion remain separate stop conditions.
mid_tests	run_medium_verification	false	not_required	Focused and medium checks may run when required by the changed scope.
release_gate	run_release_proof_and_pr_ci	false	not_required	Required proof and normal Git integration may proceed when task scope and saved action settings allow; failed CI and unsafe operations still stop.
main_sync_cleanup	merge_main_sync_and_cleanup	false	not_required	Eligible merge, main CI monitoring, and sync follow task scope and Settings; destructive cleanup always remains approval-bound.
# next_workflow_approval_boundary	For an externally activated headless repository, L1-L4 add no phase approval inside the original clear task scope, L5 adds one post-plan implementation approval, and destructive or authority-expanding actions remain separately approval-bound; the paused Control Center does not add or remove authority.
# next_workflow_runtime_authority	Normal isolated execution inside the current task scope requires no additional phase approval after candidate-bound Production Activation, but missing isolation, invalid launcher lineage, stale authority, credential delivery, or destructive cleanup cannot be waived.
# next_workflow_roll_forward	A normal authorized release may advance a different candidate through the fresh complete Activation chain without another phase approval, but no approval preset may permit same-candidate rewind, rolled-back restart, transition skipping, prior-record deletion, or fallback to stale enforced authority.
# next_workflow_ci_fixture	Private complete non-executed provider descriptors need no separate approval inside isolated bootstrap, launcher-integrity, injected discovery, or development-selection regression tests, but they grant no provider, cost, launch, release, or Activation authority and cannot be selected for real work; the live default provider probe requires a read-only host root and private-tmpfs executable binding, while missing containment keeps Production blocked and permits only explicit positive-case skips plus guided refusal.
# next_workflow_owner_controller_identity	Creating the ignored checkout identity during an already authorized synchronized-main Controller installation is normal setup; later Owner actions read it without creation and use the wrapper-pinned Controller base, while missing, invalid, substituted, or redirected identity stops.
# next_workflow_post_exit_identity_settlement	The bounded post-exit wait for transient unknown identity is normal verification and needs no separate approval; matched/reused identity and persistent unknown status stop automatically rather than asking for a weaker path.
# next_workflow_owner_reconciliation_authority	Confirmed runtime reconcile is a saved-scope immutable Owner Controller action and adds no phase approval; direct execution, destructive recovery, or authority expansion remains separately blocked.
# next_workflow_terminal_launch_reconciliation	Protected process-absence and persisted-launch checks are part of the already confirmed Owner recovery action and need no extra phase prompt; result acceptance, retry, or authority expansion remains blocked.
