# scope	item	lifecycle_status	required_mode	contexts	product_types	validation_rule	dashboard_visibility	canonical_path	legacy_paths	requirement
# next_workflow_squash_merge_observation	Parent-managed products inherit exact parent merge-method observation; product-local state cannot invent ancestry, bypass parent PR/main evidence, or activate from tree equality alone.
# next_workflow_result_contract_closure	Product-local instructions and result content remain data below the parent protected result grammar; child repositories cannot weaken code, evidence-reference, severity, or no-findings semantics.
# next_workflow_roll_forward	Parent-managed products may observe only the newest fully enforced parent candidate; an in-progress replacement grants no fallback authority, and product-local files cannot skip or reset the parent signed transition chain.
product_repo	root_agents	implemented	required	all	all	file_nonempty	visible	AGENTS.MD	none	Product repositories keep their product-local agent rules at the repository root with AGENTS.MD as the durable standard entry.
product_repo	readme	implemented	required	all	all	file_exists	visible	README.md	none	Product repositories provide a short human entry point at the repository root.
product_repo	gitignore	implemented	required	all	all	file_exists	visible	.gitignore	none	Product repositories include a default ignore file so generated caches, dependencies, build output, coverage, and secret-bearing env files are not committed.
product_repo	source_tree	implemented	contextual	all	all	path_exists	visible	src/	app/,lib/,packages/	Product source code lives under a stack-appropriate source tree when the selected product type needs one.
product_docs	requirements	implemented	required	all	all	file_nonempty	visible	docs/product/REQUIREMENTS.md	none	Product requirements live only under docs/product; root-level duplicate product documents are not part of the standard scaffold.
product_docs	specification	implemented	required	all	all	file_nonempty	visible	docs/product/SPECIFICATION.md	none	Product specification lives only under docs/product; root-level duplicate product documents are not part of the standard scaffold.
product_docs	implementation_plan	implemented	required	all	all	file_nonempty	visible	docs/product/IMPLEMENTATION_PLAN.md	none	Product implementation plan lives only under docs/product; root-level duplicate product documents are not part of the standard scaffold.
product_design_system	design_system_document	implemented	required	all	all	file_nonempty	visible	docs/design-system/DESIGN_SYSTEM.md	none	Product design-system intent and human-readable rules live inside the product repository.
product_design_system	design_tokens	implemented	required	all	all	file_nonempty	visible	docs/design-system/tokens.json	none	Product design tokens live inside the product repository so visual edits remain product-local.
product_design_system	design_components	implemented	required	all	all	file_nonempty	visible	docs/design-system/components.json	none	Product component contracts live inside the product repository so generated styling can remain source-backed.
product_workflow	task_tracker	implemented	required	all	all	file_nonempty	visible	docs/workflow/TASK_TRACKER.md	none	Product workflow task state lives only under docs/workflow; root-level duplicate workflow files are not part of the standard scaffold.
product_workflow	handoff	implemented	required	all	all	file_nonempty	visible	docs/workflow/HANDOFF.md	none	Product handoff and restart context lives only under docs/workflow; root-level duplicate workflow files are not part of the standard scaffold.
product_workflow	security	implemented	required	all	all	file_nonempty	visible	docs/workflow/SECURITY.md	none	Product security policy lives with workflow documents and gives SECURITY_MANIFEST.tsv a concrete local policy source.
product_workflow	verification	implemented	required	all	all	file_nonempty	visible	docs/workflow/VERIFICATION.md	none	Product verification policy maps TEST_PLAN_MANIFEST.tsv command ids to local commands, expected evidence, and rerun guidance.
product_workflow	instruction_memory	implemented	optional	all	all	file_nonempty	reference	docs/workflow/INSTRUCTION_MEMORY.md	none	Below product-local AGENTS.MD invariants, an existing valid product-local instruction memory has procedural priority; only exact absence lets an eligible parent-managed development context use the parent fallback, without generating or copying this file, and neither source, a parent CI bootstrap, launcher-integrity, discovery, or development-selection provider fixture, any skipped positive containment test, nor the parent's private tmpfs probe path can widen inherited management, provider, runtime, isolation, Git, cost, test, release, signed-activation, or external-launcher policy.
product_memory	memory_tree	implemented	required	all	all	path_exists	visible	docs/memory/	none	Product memory and decision records use docs/memory as the standard directory while individual memory files remain optional until used.
